,sentiment,content
2274,love,@albamayo...I just posted my First video... A contest entry and my still is terrible too  boo...luv ur videos btw. Xxxrebelrebelxxx
13328,anger,People at work are stressing me out.
2657,happiness,Finishing Homework.  BOOO
455,happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
150,sadness,"Last day working for the Uni today, sad times"
8045,anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
309,hate,my roommate @tess_tickle loves to ignore me
1083,happiness,"up early again  loads to do- but the suns out, hurrah!"
17521,anger,Apperently ea knows my copy of the sims 3 is not legit and is upset
250,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
2471,love,Summer is really ending. It's raining.
552,hate,"plan may changes , nooooooo"
2310,happiness,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!"
17829,anger,"my sisters fucking pc, just blued screened me"
200,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
13699,anger,"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane"
877,love,@kirstiealley funny u havent showed me any love yet at all
1063,love,@craftjoshua I CAN'T!!! My heart aches for her children  I wanna adopt alexis
3187,anger,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
1577,hate,Gday... Do you know if NHibernate has issues with COM Interop (VB6 &lt;-&gt; .Net Wrapper &lt;-&gt; .Net+NHibernate dll)? I'm getting crazy
2347,happiness,I have been playing skate for two hours. Now i need to get out and actually skate. But it's too late
291,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
6475,anger,Shout out to my moms for wakin me up so prematurely! Preciate it
331,sadness,Fuuudge. Movie store is closed
69,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
1011,happiness,so carlie came over and she fell asleep on me
1625,love,"@marjorielu MISS YOU, TOO!"
213,sadness,@lenje - Still a pity it comes with no lamb though
682,love,"@heresmyhello92 LOL, very true. Maybe next year. I loooved that siggy, and I don't remember what the password for the mod thing was  Cake?"
1167,love,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough
16,love,@annarosekerr agreed
1535,hate,@avrilchan never invite
612,anger,Packing  I don't like it..
36,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
350,hate,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
1591,hate,he just fully yelled @me saying dnt be so fcking stupid grow up! stop with this band shit then... throws the remote at me thnks love u2
1077,happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
381,sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
333,hate,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
332,sadness,ALO is so sad and quiet and empty tonight
22174,anger,@paulmoxham everything is your fault moxy...everything.   x
10734,anger,bout to go to work with a wicked sunburn on the chest.
59,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
183,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
299,hate,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
929,love,"@jamasweetie06 see...u shouldn't be comin' 4 the city, u should be comin' 4 me"
2159,happiness,@pyroezra i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke
1884,happiness,@sunnyphoenix there was like no1 there n tha DJ comp was hella wack... no gud DJs  but got in free so its all gud
395,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
1760,love,I love music so much that i've gone through pain to play :S my sides of my fingers now are peeling and have blisters from playing so much
1696,happiness,Is dreading going to work  BUT....its friiiiiday!! whoop!!!
27174,anger,@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx
17123,anger,"@maddsie Thanks, none close to me."
386,sadness,@judyrey  The link doesn't work
125,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
1062,hate,@GoblinZA Can't access your site!
1182,hate,and this stupid wireless wont work downstairs
2676,happiness,@moneymakn1 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.
3337,anger,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
508,happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
776,hate,night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit
2250,love,I loved johnny carson now I'm going to hate seeing jay leno go  (via @womanschitchat) that's what I was waiting for someone to say!
1186,love,@Snuva Mmmmmm I love curry. Don't have an Oregan though.
206,hate,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
228,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
1064,love,@TicketChoice lunch was going home to rest...not well today
8539,anger,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
800,love,i no i no bt i had only been a gamer for like 2 years when i made that attempt  lol yea i luvd F1 to an extent @yellowshirts
2255,happiness,@NMaize Lucky Rob... always gettin' the T8's from Emalon
1711,hate,This is exactly y I hate driving thru dandy - sittin at lights next to a car of asians who r callin out to me &amp; 1 held up a knife  scum!
4511,anger,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
619,love,Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt
2608,happiness,@DeadMemoriesX Poor you   If I was with you right now; I would probably give you a hug ;D
968,hate,Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood
1562,happiness,Goodmorning yall! I woke up to early
2691,love,"@jassily but ... but it's michael bay ...*sigh* i'm sorry, love - didn't know you felt that way about it   XD"
16578,anger,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
77,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1162,hate,@MissMadalena err i think they're like 15 bucks a ticket cause its 3D too. too expensive
10640,anger,im writing an exam on a SATURDAY  that should be illegal  where's my weekend?
24321,anger,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
304,sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
323,sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
219,hate,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
268,sadness,It's pissing me off and not letting me follow ericka
1483,hate,"damn another day at the office, the sun is bursting from the sky...and the women are eh well...back to the keyboard"
328,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
2411,love,what a bummer that tomorrow is friday again!
2729,love,@BrianLimond but lorraine kelly is a sexy mama!
23045,anger,is downloading new fonts . again  http://plurk.com/p/rplkr
2820,love,They changed the way Golden Gaytimes are made. They used to be awesome.
803,happiness,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
27246,anger,knows its all going to sort itself out
1712,hate,@AravindJose thanks dude. Being a low level business man its hard to get normal credit cards..also our place is not listed with any bank
270,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
404,hate,@all_is_one84 Those suck so bad.
385,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
61,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
1665,hate,@markbuchholz the non-Europers managed to dump the sun here! its gonna be a hot time now!
1315,love,wishing i had marvelous misadventures of flap jack on DVD
8444,anger,Very bad things.......I need to stop thinking!
8410,anger,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
63,sadness,@Pokinatcha  in all honesty...pain   blech.
245,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
2052,love,@Roberto958  awwww  thanks for follwin me thou. lol
629,happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
1210,love,Looking at old pictures... I love it &amp; miss the good ol days
17480,anger,Just found out my parents are putting down my dog tomorrow morning. Upset
411,hate,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
1587,love,kewl the JB chat was awesome. I had to miss lots of it though cause i had 2 go 2 skewl
2664,anger,lost all my files since high school.
324,sadness,I feel so deflated. No more doggy.
2,sadness,Funeral ceremony...gloomy friday...
677,happiness,@UniqueMakis Awesome! Wish I could fly out to see her
2666,love,"@KarenAnn_P i'm so sorry about that  i was really excited about it too! but i might continue posting externally, so fingers crossed!"
1775,love,@westonbuck i want a zune but i looove my pod  hahah
2336,love,Friends! Come over and give me a massage  I can't sleep.
297,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
204,sadness,is a bad friend
984,happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
162,sadness,is still missing her husband.    I really want him home.
343,sadness,Sad that Christian Lacroix had to file bankruptcy
267,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
2661,happiness,Football session after this.fun
3885,anger,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
86,hate,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1430,happiness,@captainboots  YOU'RE FAKING IT! Hahaha...I kid.
596,hate,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes
3212,anger,i never knew a dentention was so hard 2 get
16612,anger,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
2494,happiness,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny
794,hate,Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!
1332,hate,@Kikirowr Downside though is that you're breaking the thread.
2652,love,@melissaohh omg  when do they finish??
19,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1621,hate,"@powertwitter Not a fan of the layout change of hyperlinks. I don't like the indentation and, well, I'm clicking and no link shows."
1282,hate,I really need to sort out a bird table and some feeders - the robins and blue tits are being bullied
326,sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
1498,anger,@LouGagliardi  damned hordies
82,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
209,hate,would wish the severe migrains would stop!!! doc's prescriptions arent working
20531,anger,finally home for once after a dope ass week
293,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
13740,anger,My throat is on fire
8563,anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
863,love,I wish I was going to we love sounds
15,sadness,The storm is here and the electricity is gone
1412,love,There is something wrong with me! I'm so tired I can barely keep my eyes open. Yet all I've done for the last 3hrs is toss &amp; turn in bed
193,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
518,happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
932,happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
32244,anger,@Buddy021193 i hear you.. it pisses me off haha
1466,happiness,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.
903,hate,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?"
7767,anger,studying for this bullshit econ test
